Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(min),Rev On Bit (krev),Bit Diameter,Nozzle size(in2),pit volume(bbl)
1207,7.4,3.8,112,1890.4,2914,1079,10.20,1983,240.2,17.50,78,396.82
1207.5,8.4,6,66,2251.9,2422,940,10.20,534,53.3,17.50,78,665.03
1208,12.7,6.2,55,2287.5,2312,909,10.20,213,11.7,17.50,78,723.56
1208.5,12.9,5.6,55,2228.6,2310,909,10.20,215,11.8,17.50,78,712.45
1209,13,5.6,55,2172,2309,909,10.20,217,12,17.50,78,692.46
1209.5,12.4,5.6,55,2134,2312,909,10.20,213,11.7,17.50,78,673.51
1210,11.1,4.8,56,1994.3,2332,918,10.20,185,10.2,17.50,78,669.2
1210.5,7.9,4.2,57,1895.9,2425,955,10.20,53,2.9,17.50,78,682.13
1211,9.5,4.3,58,2180.5,2593,1022,10.20,25,1.4,17.50,78,679.71
1211.5,9,4.9,59,2218.4,2633,1036,10.20,29,1.6,17.50,78,677.1
1212,9.7,5.5,59,1902.5,2634,1036,10.20,32,1.7,17.50,78,676.52
1212.5,9.6,6.2,59,1778.8,2637,1036,10.20,35,1.9,17.50,78,679.83
1213,10.2,5.3,59,1817.1,2644,1036,10.20,38,2.1,17.50,78,702.91
1213.5,9.6,4.8,59,1753.7,2650,1036,10.20,41,2.3,17.50,78,716
1214,9.3,5,59,1750.2,2646,1036,10.20,44,2.5,17.50,78,717.35
1214.5,10.3,4.6,59,1814.6,2608,1035,10.20,47,2.6,17.50,78,720.55
1215,10.6,4.1,59,1838,2577,1035,10.20,50,2.8,17.50,78,725.26
1215.5,10.5,4,59,1829.8,2562,1036,10.20,53,3,17.50,78,725.07
1216,10.3,4.4,59,1825.8,2560,1036,10.20,56,3.2,17.50,78,727.79
1216.5,10,4.1,59,1815.4,2564,1037,10.20,59,3.3,17.50,78,726.77
