Depth (m),ROP Avg(m/hr),Surface WOB Avg(klb),RPM Surface Avg (rpm),Torque Abs Avg (f-b),SPP Avg (psig),Flow in Pum Avg(gpm),M.wt(ppg),HOB(hr),Rev On Bit (krev),Bit Diameter,TFA(in2),pit volume(bbl),PP(ppg),OVB(ppg)
1207,7.4,3.8,112,1890.4,2914,1079,10.20,33.05,240.2,17.50,1.1688,396.82,9.18,12.51
1207.5,8.4,6,66,2251.9,2422,940,10.20,8.9,53.3,17.50,1.1688,665.03,9.18,12.51
1208,12.7,6.2,55,2287.5,2312,909,10.20,3.55,11.7,17.50,1.1688,723.56,9.18,12.51
1208.5,12.9,5.6,55,2228.6,2310,909,10.20,3.583333333,11.8,17.50,1.1688,712.45,9.18,12.51
1209,13,5.6,55,2172,2309,909,10.20,3.616666667,12,17.50,1.1688,692.46,9.18,12.51
1209.5,12.4,5.6,55,2134,2312,909,10.20,3.55,11.7,17.50,1.1688,673.51,9.18,12.51
1210,11.1,4.8,56,1994.3,2332,918,10.20,3.083333333,10.2,17.50,1.1688,669.2,9.18,12.51
1210.5,7.9,4.2,57,1895.9,2425,955,10.20,0.883333333,2.9,17.50,1.1688,682.13,9.19,12.51
1211,9.5,4.3,58,2180.5,2593,1022,10.20,0.416666667,1.4,17.50,1.1688,679.71,9.2,12.51
1211.5,9,4.9,59,2218.4,2633,1036,10.20,0.483333333,1.6,17.50,1.1688,677.1,9.205,12.515
1212,9.7,5.5,59,1902.5,2634,1036,10.20,0.533333333,1.7,17.50,1.1688,676.52,9.21,12.52
1212.5,9.6,6.2,59,1778.8,2637,1036,10.20,0.583333333,1.9,17.50,1.1688,679.83,9.22,12.52
1213,10.2,5.3,59,1817.1,2644,1036,10.20,0.633333333,2.1,17.50,1.1688,702.91,9.23,12.52
1213.5,9.6,4.8,59,1753.7,2650,1036,10.20,0.683333333,2.3,17.50,1.1688,716,9.24,12.525
1214,9.3,5,59,1750.2,2646,1036,10.20,0.733333333,2.5,17.50,1.1688,717.35,9.25,12.53
1214.5,10.3,4.6,59,1814.6,2608,1035,10.20,0.783333333,2.6,17.50,1.1688,720.55,9.26,12.53
1215,10.6,4.1,59,1838,2577,1035,10.20,0.833333333,2.8,17.50,1.1688,725.26,9.27,12.53
1215.5,10.5,4,59,1829.8,2562,1036,10.20,0.883333333,3,17.50,1.1688,725.07,9.28,12.535
1216,10.3,4.4,59,1825.8,2560,1036,10.20,0.933333333,3.2,17.50,1.1688,727.79,9.29,12.54
1216.5,10,4.1,59,1815.4,2564,1037,10.20,0.983333333,3.3,17.50,1.1688,726.77,9.3,12.54
1217,9.8,4,59,1800.6,2587,1038,10.20,1.033333333,3.5,17.50,1.1688,728.52,9.31,12.54
1217.5,9.8,4.3,59,1831.8,2607,1039,10.20,1.083333333,3.7,17.50,1.1688,724.06,9.3,12.545
1218,9.8,4.7,59,1752.2,2620,1040,10.20,1.133333333,3.9,17.50,1.1688,725.79,9.29,12.55
1218.5,9,5.1,59,1811.1,2593,1039,10.20,1.183333333,4.1,17.50,1.1688,727.09,9.31,12.55
1219,9,4.5,59,1789.6,2571,1039,10.20,1.25,4.3,17.50,1.1688,733.28,9.33,12.55
1219.5,9.1,3.8,59,1749.7,2563,1038,10.20,1.3,4.5,17.50,1.1688,733.75,9.355,12.555
1220,9.3,3.4,59,1777.9,2563,1038,10.20,1.35,4.6,17.50,1.1688,734.99,9.38,12.56
1220.5,9.2,3.1,59,1879,2562,1039,10.20,1.4,4.8,17.50,1.1688,733.58,9.375,12.56
1221,9.2,2.5,59,1843.2,2567,1039,10.20,1.466666667,5,17.50,1.1688,731.24,9.37,12.56
1221.5,9.4,2,59,1828.2,2569,1039,10.20,1.516666667,5.2,17.50,1.1688,729.93,9.38,12.565
1222,10.4,1.6,59,1973.7,2572,1039,10.20,1.566666667,5.4,17.50,1.1688,732.52,9.39,12.57
1222.5,10.7,1.2,59,1961.3,2573,1039,10.20,1.616666667,5.5,17.50,1.1688,732.36,9.405,12.57
1223,10.5,1,59,1941,2563,1039,10.20,1.65,5.7,17.50,1.1688,732.78,9.42,12.57
1223.5,10.4,1.1,59,1938,2568,1039,10.20,1.7,5.9,17.50,1.1688,733.13,9.425,12.575
1224,9.7,1.2,59,1834.7,2591,1039,10.20,1.75,6.1,17.50,1.1688,730.72,9.43,12.58
1224.5,9.6,1.2,59,1830.7,2621,1039,10.20,1.816666667,6.2,17.50,1.1688,728.44,9.375,12.58
1225,9.7,1.3,59,1881.2,2609,1040,10.20,1.866666667,6.4,17.50,1.1688,726.67,9.32,12.58
1225.5,10.9,1.3,59,1928.6,2588,1040,10.20,1.9,6.6,17.50,1.1688,726.76,9.33,12.585
1226,10.3,1.6,59,1860.7,2582,1039,10.20,1.95,6.8,17.50,1.1688,728.53,9.34,12.59
1226.5,10,2.1,59,1883,2572,1039,10.20,2,6.9,17.50,1.1688,725,9.37,12.59
1227,9.4,2.2,60,1946.8,2564,1039,10.20,2.066666667,7.1,17.50,1.1688,725.21,9.4,12.59
1227.5,8.8,1.6,67,2130.1,2561,1038,10.20,2.116666667,7.4,17.50,1.1688,725.9,9.395,12.595
1228,8.7,2,94,2136.2,2539,1035,10.20,2.183333333,7.7,17.50,1.1688,718.73,9.39,12.6
1228.5,7.1,1.9,100,1910.7,2487,1023,10.20,2.25,8.2,17.50,1.1688,717.71,9.4,12.6
1229,9.6,2.6,100,1978.5,2468,1017,10.20,2.3,8.5,17.50,1.1688,716.76,9.41,12.6
1229.5,10,2.7,100,1944.3,2494,1018,10.20,2.35,8.8,17.50,1.1688,718.04,9.42,12.605
1230,9.6,2.4,100,1957.5,2516,1019,10.20,2.416666667,9.1,17.50,1.1688,717.23,9.43,12.61
1230.5,9.5,2.4,100,2037,2506,1019,10.20,2.466666667,9.4,17.50,1.1688,719.15,9.42,12.615
1231,10.2,3,100,2107.1,2468,1018,10.20,2.516666667,9.7,17.50,1.1688,726.54,9.41,12.62
1231.5,10.9,3.7,100,2154.6,2434,1017,10.20,2.55,10,17.50,1.1688,728.01,9.415,12.62
1232,10.7,3.3,100,2080.5,2392,1016,10.20,2.6,10.3,17.50,1.1688,730.06,9.42,12.62
1232.5,10.4,2.9,100,1947.3,2372,1015,10.20,2.65,10.6,17.50,1.1688,730.63,9.435,12.625
1233,11.5,2.9,100,2016.1,2364,1015,10.20,2.7,10.8,17.50,1.1688,730.32,9.45,12.63
1233.5,14.2,3.6,100,2190.5,2342,1015,10.20,2.733333333,11,17.50,1.1688,730.8,9.45,12.63
1234,15.6,4.5,100,2253.5,2345,1015,10.20,2.766666667,11.2,17.50,1.1688,729.57,9.45,12.63
1234.5,15.5,4.2,100,2240.5,2358,1015,10.20,2.8,11.4,17.50,1.1688,728.18,9.45,12.635
1235,14.5,4.5,100,2228,2364,1015,10.20,2.833333333,11.6,17.50,1.1688,727.03,9.45,12.64
1235.5,11.9,4,100,2197.1,2393,1017,10.20,2.866666667,11.9,17.50,1.1688,728.92,9.485,12.64
1236,10.7,4.7,100,2026.5,2515,1022,10.20,2.916666667,12.2,17.50,1.1688,728.87,9.52,12.64
1236.5,12.6,5.4,100,2272.7,2582,1026,10.20,2.966666667,12.4,17.50,1.1688,724.53,9.48,12.645
1237,15.1,3.7,100,2134.7,2555,1026,10.20,3,12.6,17.50,1.1688,721.67,9.44,12.65
1237.5,17.9,4.2,100,2210.6,2519,1025,10.20,3.016666667,12.8,17.50,1.1688,722.54,9.41,12.65
1238,17.9,4.7,100,2275.8,2474,1024,10.20,3.05,13,17.50,1.1688,717.85,9.38,12.65
1238.5,12.2,3,100,2035.2,2453,1024,10.20,3.1,13.2,17.50,1.1688,714.57,9.365,12.655
1239,14,2.6,100,2099.1,2459,1024,10.20,3.133333333,13.5,17.50,1.1688,713.65,9.35,12.66
1239.5,17.2,3.1,100,2196.5,2466,1024,10.20,3.166666667,13.6,17.50,1.1688,716.13,9.345,12.66
1240,17.2,3.3,100,2220.2,2475,1025,10.20,3.2,13.8,17.50,1.1688,720.5,9.34,12.66
1240.5,16,3.1,100,2198.8,2472,1024,10.20,3.216666667,14,17.50,1.1688,719.83,9.335,12.665
1241,15.8,3,100,2185,2504,1025,10.30,3.25,14.2,17.50,1.1688,720.63,9.33,12.67
1241.5,14.2,2.6,100,2136,2520,1026,10.30,3.283333333,14.4,17.50,1.1688,716.17,9.325,12.675
1242,14,3,100,2168.7,2491,1025,10.30,3.333333333,14.6,17.50,1.1688,713.47,9.32,12.68
1242.5,14.8,3.4,100,2189.7,2456,1024,10.30,3.366666667,14.8,17.50,1.1688,712.71,9.315,12.68
1243,14.9,3.8,100,2272.1,2427,1024,10.30,3.4,15,17.50,1.1688,717.41,9.31,12.68
1243.5,15.6,4,100,2326.6,2422,1023,10.30,3.433333333,15.2,17.50,1.1688,716.92,9.305,12.685
1244,14.6,3.7,100,2278.8,2408,1023,10.30,3.466666667,15.4,17.50,1.1688,714.09,9.3,12.69
1244.5,13.9,3.2,100,2226.3,2401,1023,10.30,3.5,15.6,17.50,1.1688,715.12,9.3,12.69
1245,14.7,3,100,2236.8,2411,1023,10.30,3.533333333,15.8,17.50,1.1688,716.85,9.3,12.69
1245.5,14.2,2.6,100,2183.8,2418,1023,10.30,3.566666667,16.1,17.50,1.1688,720.85,9.3,12.695
1246,14.6,2.5,100,2202,2425,1023,10.30,3.6,16.3,17.50,1.1688,722.21,9.3,12.7
